Ticker,Segmento,DY_Anual,P_VP,Liquidez_Diaria,Vacancia,Patrimonio,Perfil_Risco,Perfil_Ideal_Investidor,Liquidez_Patrimonio,Desconto_VP,DY_por_Vacancia,Indice_Valor,Log_Patrimonio,Log_Liquidez,Score_Risco
EDGE11,Multicategoria,0.07,0.85,26.0,0.0,12005700.0,Médio,Moderado,2.165637988622072e-06,0.15,7.000000000000001,0.0823529411764706,16.30089217826925,3.295836866004329,40.0
EGAF11,Títulos e Val. Mob.,0.0417,0.89,1330000.0,0.0,276047000.0,Médio,Moderado,0.0048180201197622,0.1099999999999999,4.17,0.0468539325842696,19.4360817026614,14.100690252077351,44.0
EIRA11,Multicategoria,0.1344,1.01,44028.0,0.0,36204500.0,Baixo,Conservador,0.0012160919222748,-0.01,13.44,0.133069306930693,17.404694006083368,10.692603786704463,32.0
ELDO11B,Shoppings,0.0341,0.64,0.0,0.0097,869375000.0,Médio,Moderado,0.0,0.36,1.730964467005076,0.0532812499999999,20.583285121792237,0.0,54.45
EMET11,Multicategoria,0.1425,0.91,522687.0,0.0,44450000.0,Baixo,Conservador,0.0117589876265466,0.0899999999999999,14.249999999999998,0.1565934065934065,17.609875542421374,13.166740006717948,32.0
EQIN11,Multicategoria,0.0,0.8,0.0,0.0,122098000.0,Médio,Moderado,0.0,0.1999999999999999,0.0,0.0,18.62033456712054,0.0,50.0
EQIR11,Multicategoria,0.1393,0.88,76842.0,0.0,93165600.0,Médio,Moderado,0.000824789407249,0.12,13.93,0.1582954545454545,18.349889123543253,11.249519658285909,40.0
ERCR11,Residencial,0.0,7.14,0.0,0.0,180576000.0,Alto,Arrojado,0.0,-6.14,0.0,0.0,19.01166230528884,0.0,65.0
ERPA11,Multicategoria,0.0857,0.78,180417.0,0.0,65059700.0,Baixo,Conservador,0.0027730991689171,0.2199999999999999,8.57,0.1098717948717948,17.990815883241158,12.10303165990365,32.0
EURO11,Logística,0.0747,0.87,41522.0,0.0,140996000.0,Baixo,Conservador,0.0002944906238474,0.13,7.47,0.0858620689655172,18.764242086238117,10.634002769564812,32.0
EVBI11,Multicategoria,0.0559,0.97,0.0,0.0049,546231000.0,Baixo,Conservador,0.0,0.03,3.751677852348993,0.0576288659793814,20.118552522991177,0.0,27.73
EXES11,Multicategoria,0.1623,0.93,149367.0,0.0,133541000.0,Médio,Moderado,0.0011185104200208,0.0699999999999999,16.23,0.174516129032258,18.709919112247288,11.914168338645172,42.0
FAED11,Outros,0.1333,0.66,67641.0,0.0,104618000.0,Médio,Moderado,0.0006465522185474,0.3399999999999999,13.33,0.2019696969696969,18.465826188478925,11.121984370878163,52.0
FAMB11,Residencial,0.0,0.96,51322.0,0.9801,116532000.0,Alto,Arrojado,0.0004404112175196,0.04,0.0,0.0,18.573676479945824,10.845894273763054,77.0
